Incident_ID,Text_ID,Source,Raw_Text,Sentiment,Sentiment_Score,Entities,Topic
TXT-001,429129916446031872,Kaggle CrimeReport,"Active crime scene on I-59/20 near Jeff/Tusc Co line. One dead, one injured; shooting involved. Poli",NEGATIVE,0.9902,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-002,429117247307923456,Kaggle CrimeReport,Police have arrested a suspect in the Monday shooting at the basketball courts behind Word Tabernacl,NEGATIVE,0.9781,People: N/A; Locations: N/A; Organizations: Word Tabernacle Church; Dates: Monday,other
TXT-003,429315798893461505,Kaggle CrimeReport,Lawsuit alleges Chicago Police strip-searched trio in public http://t.co/NGVCe42BUW via @suntimes,NEGATIVE,0.9972,People: N/A; Locations: Chicago; Organizations: N/A; Dates: N/A,other
TXT-004,429079910091476992,Kaggle CrimeReport,New NRA Advice: Don't Cooperate With Police If Your Gun Shows Up At A Crime Scene;  http://t.co/f96j,NEGATIVE,0.9976,People: N/A; Locations: N/A; Organizations: New NRA Advice; Dates: N/A,other
TXT-005,429030956888899584,Kaggle CrimeReport,"Police failing to stamp out ‘honour crimes’, from domestic violence and forced marriage to FGM and m",NEGATIVE,0.9845,People: N/A; Locations: N/A; Organizations: FGM; Dates: N/A,other
TXT-006,429152645702352896,Kaggle CrimeReport,"Today's front page: 
Police failing to stamp out ‘honour crimes’ http://t.co/SLuXLgbQbU http://t.co/",NEGATIVE,0.997,People: N/A; Locations: N/A; Organizations: N/A; Dates: Today,other
TXT-007,429016075921940481,Kaggle CrimeReport,"Town of Tonawanda Police Search for Bank Robbery Suspect
http://t.co/4aJxs3Mv9G http://t.co/320mwHfu",NEGATIVE,0.9947,"People: N/A; Locations: N/A; Organizations: Town of Tonawanda Police Search for Bank Robbery Suspect
http://t.co/4aJxs3Mv9G http://t.co/320mwHfuPl; Dates: N/A",other
TXT-008,428898232690044928,Kaggle CrimeReport,"Due to lack of police protection, #Christians in #Pakistan become easy targets for crime and abuse. ",NEGATIVE,0.9962,People: N/A; Locations: Pakistan; Organizations: N/A; Dates: N/A,other
TXT-009,428956892602191873,Kaggle CrimeReport,New #NRA Advice: Don't Cooperate With Police If Your Gun Shows Up At A Crime Scene http://t.co/ldIDJ,NEGATIVE,0.9985,People: N/A; Locations: N/A; Organizations: Crime Scene; Dates: N/A,other
TXT-010,429111068368326656,Kaggle CrimeReport,Commish Batts makes a strong case for legalizing marijuana - to end the violent MJ trade in Baltimor,POSITIVE,0.9884,People: Commish Batts; @baltimoresun http://t.co/A0TRUflAYl; Locations: Baltimore; Organizations: N/A; Dates: N/A,other
TXT-011,429167217976958976,Kaggle CrimeReport,Police swoop on the homeless taking sleeping bags and food parcels in co-ordinated raids in Redbridg,NEGATIVE,0.9957,People: Redbridge; Locations: N/A; Organizations: N/A; Dates: N/A,theft
TXT-012,429379822314614785,Kaggle CrimeReport,#NRAadvice: Don’t cooperate with police if your gun shows up at a crime scene: http://t.co/c96U10ed1,NEGATIVE,0.9987,People: NRAadvice; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-013,429235096919359488,Kaggle CrimeReport,#Police : Become a Special Constable and help cut crime http://t.co/taxFZeQ4Vx Devon Cornwall,NEGATIVE,0.8688,People: Devon Cornwall; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-014,428986795586383872,Kaggle CrimeReport,BREAKING NEWS: Judge’s ruling favors officers in Badger Guns suit: http://t.co/QcQP0vLtd4,NEGATIVE,0.9638,People: N/A; Locations: N/A; Organizations: Badger Guns; Dates: N/A,other
TXT-015,429238790310203392,Kaggle CrimeReport,Woman police sergeant dives in river to drag drowning woman to safety http://t.co/WKSZ2Obw1k via @Ma,NEGATIVE,0.995,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-016,429509723516194817,Kaggle CrimeReport,RT @blackmagicgal1: So AAP will continue to cry foul at Delhi police whenever a crime is reported ra,NEGATIVE,0.999,People: N/A; Locations: Delhi; Organizations: N/A; Dates: N/A,other
TXT-017,429509617756811264,Kaggle CrimeReport,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Polic,NEGATIVE,0.9953,People: Delhi Police; blami; Locations: Delhi; Organizations: Crime/Lawlessness; Dates: N/A,public disturbance
TXT-018,429509135437017089,Kaggle CrimeReport,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Polic,NEGATIVE,0.9953,People: Delhi Police; blami; Locations: Delhi; Organizations: Crime/Lawlessness; Dates: N/A,public disturbance
TXT-019,429509033045659648,Kaggle CrimeReport,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Polic,NEGATIVE,0.9953,People: Delhi Police; blami; Locations: Delhi; Organizations: Crime/Lawlessness; Dates: N/A,public disturbance
TXT-020,429508763708817408,Kaggle CrimeReport,RT @CherryFlavoredd: Cause there isn't any real crime anywhere.. RT @DrinkingTicket: Police around c,NEGATIVE,0.9978,People: N/A; Locations: N/A; Organizations: RT @CherryFlavoredd: Cause; Dates: N/A,other
TXT-021,429508217303875584,Kaggle CrimeReport,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Polic,NEGATIVE,0.9953,People: Delhi Police; blami; Locations: Delhi; Organizations: Crime/Lawlessness; Dates: N/A,public disturbance
TXT-022,429508122604883969,Kaggle CrimeReport,RT @CherryFlavoredd: Cause there isn't any real crime anywhere.. RT @DrinkingTicket: Police around c,NEGATIVE,0.9978,People: N/A; Locations: N/A; Organizations: RT @CherryFlavoredd: Cause; Dates: N/A,other
TXT-023,429507949934157824,Kaggle CrimeReport,RT @DemandAction: #NRAadvice: Don’t cooperate with police if your gun shows up at a crime scene: htt,NEGATIVE,0.9987,People: NRAadvice; Locations: N/A; Organizations: RT @DemandAction; Dates: N/A,other
TXT-024,429507930975510528,Kaggle CrimeReport,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Polic,NEGATIVE,0.9953,People: Delhi Police; blami; Locations: Delhi; Organizations: Crime/Lawlessness; Dates: N/A,public disturbance
TXT-025,429507700716613632,Kaggle CrimeReport,Cause there isn't any real crime anywhere.. RT @DrinkingTicket: Police around capstone dorm arrestin,NEGATIVE,0.9982,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-026,429507388056412160,Kaggle CrimeReport,"India News Delhi Police arrests three  in Rs 8 cr heist, some cash recovered, mastermind absconding ",NEGATIVE,0.9892,People: N/A; Locations: Delhi; Organizations: India News; Dates: N/A,theft
TXT-027,429507387393703936,Kaggle CrimeReport,"India News Police sniffer dog's bark lands man in Mumbai jail for 10 years, High Court orders his re",NEGATIVE,0.9931,People: N/A; Locations: Mumbai; Organizations: India News Police; Dates: 10 years,other
TXT-028,429507291763576832,Kaggle CrimeReport,Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable.,NEGATIVE,0.9736,People: Delhi Police; Locations: Delhi; Organizations: Crime/Lawlessness; Dates: N/A,other
TXT-029,429506469214437376,Kaggle CrimeReport,I added a video to a @YouTube playlist http://t.co/cir6DgKsvp World's Scariest Police Chases 4 (Crim,NEGATIVE,0.9875,People: N/A; Locations: N/A; Organizations: World; Scariest Police Chases; Dates: N/A,other
TXT-030,429506433801924608,Kaggle CrimeReport,New #Legal Remedy Against Police Activities Within Criminal Investigations - Mondaq News Alerts (reg,NEGATIVE,0.9949,People: Legal Remedy; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-031,429506012626702336,Kaggle CrimeReport,"Police seek witnesses to grass fires (Delahey  - VIC):
http://t.co/7OEdJQvhMi",NEGATIVE,0.994,People: Delahey  - VIC; Locations: N/A; Organizations: N/A; Dates: N/A,fire
TXT-032,429505339621662720,Kaggle CrimeReport,It's so shallow as for evry crime police is being blamed in #capital by govnment!they mean police ha,NEGATIVE,0.9996,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-033,429505236148174848,Kaggle CrimeReport,Police swoop on kidnappers’ den in Onitsha - http://t.co/HeOoghHHKt http://t.co/AuQrW32iil,NEGATIVE,0.995,People: N/A; Locations: Onitsha; Organizations: N/A; Dates: N/A,other
TXT-034,429505189544878081,Kaggle CrimeReport,"RT @Gun_Shots: ""95% of the time police arrive too late to prevent a crime or arrest the suspect."" - ",NEGATIVE,0.9939,People: N/A; Locations: N/A; Organizations: N/A; Dates: 17 June 1998,other
TXT-035,429505128605818880,Kaggle CrimeReport,"@BansheeTvShow The entire police department, the bartender, the gay tech all were in the showdown bu",NEGATIVE,0.9805,People: Carrie; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-036,429505116433956864,Kaggle CrimeReport,"Police union wants lock out zones expanded:
http://t.co/hu8zOehB7G",NEGATIVE,0.9934,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-037,429504618939158528,Kaggle CrimeReport,Alert issued in Petaluma after men posing as police enter woman's home:  http://t.co/Gq7RrjkwXs,NEGATIVE,0.9876,People: N/A; Locations: Petaluma; Organizations: N/A; Dates: N/A,other
TXT-038,429503319321493504,Kaggle CrimeReport,Bay Area journos on crime beat: there are 4 police cars &amp; yellow tape at sunny spot med. MJ shop,NEGATIVE,0.995,People: N/A; Locations: Bay Area; Organizations: N/A; Dates: 17th right now,other
TXT-039,429503199959986177,Kaggle CrimeReport,"RT @Darius_Suber95: Police are supposed to be fighting crime on the streets, not sitting in a hiding",NEGATIVE,0.9925,People: RT @Darius_Suber95; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-040,429502545145237504,Kaggle CrimeReport,"Peel #Police - Male Arrested on Attempt Murder Warrant http://t.co/tDQE83bFXX
 #crime",NEGATIVE,0.9865,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-041,429502437460680704,Kaggle CrimeReport,Belmar named St. Louis County police chief http://t.co/MXbeCRaJ5K,NEGATIVE,0.954,People: Belmar; Locations: St. Louis County; Organizations: http://t.co/MXbeCRaJ5K; Dates: N/A,other
TXT-042,429502289481449472,Kaggle CrimeReport,RT @geophyraj: Is Mr @ArvindKejriwal going to blame Delhi Police for every crime in the city? Then w,NEGATIVE,0.9992,People: Shiela Dikshit's; Locations: N/A; Organizations: Delhi Police; Dates: N/A,other
TXT-043,429502207763836929,Kaggle CrimeReport,"""Men posing as police: Petaluma home invasion.""

Uh, I'm not letting any cop in w/out a badge number",NEGATIVE,0.9963,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-044,429502122015481856,Kaggle CrimeReport,"#NidoTaniam paid for breaking the glass, why were the shopkeepers not made to pay for their crime of",NEGATIVE,0.993,People: NidoTaniam; Locations: N/A; Organizations: N/A; Dates: N/A,assault
TXT-045,429501723934461952,Kaggle CrimeReport,The Times Picayune - Police investigating shooting in Pontchartrain Park http://t.co/iVehmyxnys,NEGATIVE,0.9904,People: N/A; Locations: Pontchartrain Park; Organizations: The Times Picayune - Police; Dates: N/A,public disturbance
TXT-046,429501695442186240,Kaggle CrimeReport,"#NidoTaniam paid for breaking the glass, why were the shopkeepers not made to pay for their crime of",NEGATIVE,0.993,People: NidoTaniam; Locations: N/A; Organizations: N/A; Dates: N/A,assault
TXT-047,429501574805585920,Kaggle CrimeReport,RT @blackmagicgal1: So AAP will continue to cry foul at Delhi police whenever a crime is reported ra,NEGATIVE,0.999,People: N/A; Locations: Delhi; Organizations: N/A; Dates: N/A,other
TXT-048,429501521940598784,Kaggle CrimeReport,#Justice U.S. Marshals Task Force and Toledo Police Arrest Final Suspect in Murder Case: Tole... htt,NEGATIVE,0.9906,People: HiTechCJ; Locations: N/A; Organizations: U.S. Marshals Task Force; Toledo Police Arrest Final Suspect; Dates: N/A,other
TXT-049,429501272786354176,Kaggle CrimeReport,Alert issued in Petaluma after men posing as police enter woman's home http://t.co/lVcwrHXthc #bayar,NEGATIVE,0.9888,People: N/A; Locations: Petaluma; Organizations: N/A; Dates: N/A,other
TXT-050,429501173670739968,Kaggle CrimeReport,Watching crime and investigation and one of the police audio analysis investigators is wearing a pai,NEGATIVE,0.9822,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-051,429500659553931264,Kaggle CrimeReport,Alert issued in Petaluma after men posing as police enter woman's home: Petaluma police issued a pro,NEGATIVE,0.9918,People: http://t.co/2iQRugpWfn; Locations: Petaluma; Organizations: N/A; Dates: N/A,other
TXT-052,429500626821996544,Kaggle CrimeReport,via @NOLAnews Police investigating shooting in Pontchartrain Park http://t.co/ikLjlj9V6V,NEGATIVE,0.9877,People: N/A; Locations: Pontchartrain Park http://t.co/ikLjlj9V6V; Organizations: @NOLAnews Police; Dates: N/A,public disturbance
TXT-053,429500250303111168,Kaggle CrimeReport,Police Chief James Craig: More guns could equal less crime in Detroit http://t.co/CACeNrG6Kt,NEGATIVE,0.9921,People: James Craig; Locations: Detroit; Organizations: N/A; Dates: N/A,other
TXT-054,429499974507061248,Kaggle CrimeReport,Again port st lucie!i know there's crime everywhere but they just stupid here http://t.co/qdSW6gWSA4,NEGATIVE,0.9997,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-055,429499957083897856,Kaggle CrimeReport,Crime reports offered online http://t.co/gW087y5ELT,NEGATIVE,0.9932,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-056,429499927874789376,Kaggle CrimeReport,Crime reports offered online http://t.co/tmzdPaJaWi,NEGATIVE,0.9927,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-057,429499891593658368,Kaggle CrimeReport,Safeguarding: Investigation into 'why Lincolnshire police marked one third of all reported rapes as ,NEGATIVE,0.9763,People: N/A; Locations: Lincolnshire; Organizations: N/A; Dates: N/A,other
TXT-058,429499566778351616,Kaggle CrimeReport,Alert issued in Petaluma after men posing as police enter woman's home: Petaluma police issued a pro,NEGATIVE,0.9913,People: N/A; Locations: Petaluma; Organizations: N/A; Dates: N/A,other
TXT-059,429499480954531841,Kaggle CrimeReport,RT @Sissy2814: Some ppl are unfit to deserve such loyal companion. This is a crime if you see this c,NEGATIVE,0.9995,People: N/A; Locations: N/A; Organizations: WHO; Dates: N/A,other
TXT-060,429499000081760256,Kaggle CrimeReport,RT @Sissy2814: Some ppl are unfit to deserve such loyal companion. This is a crime if you see this c,NEGATIVE,0.9995,People: N/A; Locations: N/A; Organizations: WHO; Dates: N/A,other
TXT-061,429498405837369344,Kaggle CrimeReport,Suburban Crime Log: 2-01 http://t.co/bCWfqPZo0W,NEGATIVE,0.9934,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-062,429498397167734784,Kaggle CrimeReport,Suburban Crime Log: 2-01 http://t.co/rf5vK5sh5X,NEGATIVE,0.9937,People: N/A; Locations: N/A; Organizations: N/A; Dates: 2-01,other
TXT-063,429497948267765760,Kaggle CrimeReport,UPDATED: Big data: police given access to British army's crime-fighting software http://t.co/XkU8xSx,NEGATIVE,0.8486,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-064,429497921277415426,Kaggle CrimeReport,RT @DemandAction: #NRAadvice: Don’t cooperate with police if your gun shows up at a crime scene: htt,NEGATIVE,0.9987,People: NRAadvice; Locations: N/A; Organizations: RT @DemandAction; Dates: N/A,other
TXT-065,429497098531115008,Kaggle CrimeReport,"Arunachal student death: Delhi Police files murder case, magisterial probe ordered - Zee News http:/",NEGATIVE,0.9934,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-066,429496907191181312,Kaggle CrimeReport,"What if instead of police dogs, there were giant man-sized police spiders.

There would never be cri",NEGATIVE,0.9081,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-067,429496260790206467,Kaggle CrimeReport,RT @NOLAnews: Police investigating shooting in Pontchartrain Park http://t.co/JFassdU7iv,NEGATIVE,0.9872,People: N/A; Locations: Pontchartrain Park; Organizations: N/A; Dates: N/A,other
TXT-068,429496119207272448,Kaggle CrimeReport,RT @NOLAnews: Police investigating shooting in Pontchartrain Park http://t.co/JFassdU7iv,NEGATIVE,0.9872,People: N/A; Locations: Pontchartrain Park; Organizations: N/A; Dates: N/A,other
TXT-069,429495848548847616,Kaggle CrimeReport,Police investigating shooting in Pontchartrain Park http://t.co/JFassdU7iv,NEGATIVE,0.9888,People: N/A; Locations: Pontchartrain Park; Organizations: N/A; Dates: N/A,public disturbance
TXT-070,429495195319951361,Kaggle CrimeReport,"Tip helps Clarksville police foil school shooting, CPD says http://t.co/69W4Bkxaf4",NEGATIVE,0.9102,People: Clarksville; Locations: N/A; Organizations: CPD; Dates: N/A,other
TXT-071,429495172859060224,Kaggle CrimeReport,Simi Valley sees second-safest year on record: Police said Friday that Simi Valley's crime rate fell,NEGATIVE,0.9988,People: N/A; Locations: Simi Valley; Simi Valley's; Organizations: N/A; Dates: Friday,other
TXT-072,429494325622222848,Kaggle CrimeReport,Police investigating shooting in Pontchartrain Park: Man shot in Gentilly neighborhood Saturday (Jan,NEGATIVE,0.9909,People: Gentilly; Locations: Pontchartrain Park; Organizations: N/A; Dates: Saturday; Jan. 31,other
TXT-073,429493745243799552,Kaggle CrimeReport,RT @awkwardposts: Imagine if Police had giant police spiders instead of police dogs. There would be ,NEGATIVE,0.9922,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-074,429493724763389953,Kaggle CrimeReport,"Behind teen’s heroin overdose death, a troubling trend http://t.co/cxb8uv4giR",NEGATIVE,0.994,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-075,429493689216679936,Kaggle CrimeReport,Police searching for victims in alleged child porn bust http://t.co/bFxRozE3FW,NEGATIVE,0.9977,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-076,429493026323300352,Kaggle CrimeReport,Police investigating shooting in Pontchartrain Park http://t.co/BzP5fIOhAo,NEGATIVE,0.9894,People: N/A; Locations: Pontchartrain Park http://t.co/BzP5fIOhAo; Organizations: N/A; Dates: N/A,public disturbance
TXT-077,429492585606807552,Kaggle CrimeReport,"Police: Drugs, definitions behind crime rise: The number of serious crimes reported to Springfield p",NEGATIVE,0.9626,People: N/A; Locations: Springfield; Organizations: N/A; Dates: N/A,other
TXT-078,429492578195472384,Kaggle CrimeReport,"News-Leader: Police: Drugs, definitions behind crime rise http://t.co/F9w3NAuM2K",NEGATIVE,0.9808,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-079,429492510801420288,Kaggle CrimeReport,"RT @SinghRPN: .@AngellicAribam Yes,hv spoken to Delhi police for full and speedy probe,it is the mos",NEGATIVE,0.9977,People: RT; Locations: Delhi; Organizations: N/A; Dates: N/A,other
TXT-080,429492212674478080,Kaggle CrimeReport,West Yorkshire’s police commissioner announces two per cent council tax hike: WEST Yorkshire’s polic,NEGATIVE,0.952,People: WEST Yorkshire’s; Locations: West Yorkshire’s; Organizations: N/A; Dates: N/A,other
TXT-081,429491944268374016,Kaggle CrimeReport,"""San Francisco police don’t keep crime stats as well as #Oakland"" http://t.co/IcDYOF9VgI",NEGATIVE,0.9992,People: Oakland; Locations: San Francisco; Organizations: N/A; Dates: N/A,other
TXT-082,429491406961250305,Kaggle CrimeReport,"RT @girlweena: Just heard a police detective say ""interwishin'"" instead of ""intuition"" and am now co",NEGATIVE,0.9993,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-083,429490875685556224,Kaggle CrimeReport,"@stephgrain My response won't change from ""no comment."" If u have knowledge of a crime report to htt",NEGATIVE,0.9939,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-084,429489676513054720,Kaggle CrimeReport,McLean High School student’s heroin overdose shows disturbing trend facing police http://t.co/tqZiCJ,NEGATIVE,0.9936,People: N/A; Locations: N/A; Organizations: McLean High School; http://t.co/tqZiCJ0ReA; Dates: N/A,other
TXT-085,429489649082314752,Kaggle CrimeReport,McLean High School student’s heroin overdose shows disturbing trend facing police http://t.co/IcOKW2,NEGATIVE,0.9935,People: N/A; Locations: N/A; Organizations: McLean High School; http://t.co/IcOKW2gOiz; Dates: N/A,other
TXT-086,429489638408220672,Kaggle CrimeReport,McLean High School student’s heroin overdose shows disturbing trend facing police http://t.co/V8DiQn,NEGATIVE,0.9946,People: N/A; Locations: N/A; Organizations: McLean High School; Dates: N/A,other
TXT-087,429489636746878976,Kaggle CrimeReport,McLean High School student’s heroin overdose shows disturbing trend facing police http://t.co/aCmS22,NEGATIVE,0.9934,People: N/A; Locations: N/A; Organizations: McLean High School; Dates: N/A,other
TXT-088,429489636444884992,Kaggle CrimeReport,McLean High School student’s heroin overdose shows disturbing trend facing police http://t.co/cuhrnm,NEGATIVE,0.9925,People: N/A; Locations: N/A; Organizations: McLean High School; Dates: N/A,other
TXT-089,429489636423897090,Kaggle CrimeReport,McLean High School student’s heroin overdose shows disturbing trend facing police http://t.co/lmetos,NEGATIVE,0.9939,People: N/A; Locations: N/A; Organizations: McLean High School; Dates: N/A,other
TXT-090,429489636386144256,Kaggle CrimeReport,McLean High School student’s heroin overdose shows disturbing trend facing police http://t.co/dSIiQN,NEGATIVE,0.9949,People: N/A; Locations: N/A; Organizations: McLean High School; Dates: N/A,other
TXT-091,429489380147740672,Kaggle CrimeReport,"Crime prevention education, animal control services &amp; house watch are just a few ways our police",POSITIVE,0.9927,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-092,429488933169147904,Kaggle CrimeReport,@Vote4AAP @AamAadmiParty @MSisodia&gt;RSS etc's Bigotry-Irrationality-Misogyny a Way o Life-80% Ppl ,NEGATIVE,0.9984,People: N/A; Locations: N/A; Organizations: @MSisodia&gt;RSS etc's; Bigotry-Irrationality-Misogyny; Dates: N/A,other
TXT-093,429488616197193730,Kaggle CrimeReport,@pataz1 Her DNA was not found mixed all over the crime scene. Also Perugia's police allowed crime sc,NEGATIVE,0.9976,People: N/A; Locations: N/A; Organizations: Perugia; Dates: N/A,other
TXT-094,429488467572056064,Kaggle CrimeReport,RT @ABCNews24_: Now: Greens Hansen Young says closure of Mt Thomas police station reckless and will ,NEGATIVE,0.9505,People: Hansen Young; Locations: N/A; Organizations: Mt Thomas; Dates: N/A,other
TXT-095,429488175862808576,Kaggle CrimeReport,2/2 Police will assist with injured animals when they are on a highway or where a crime is suspected,POSITIVE,0.702,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-096,429488126608678912,Kaggle CrimeReport,@NoMoreDemocracy there's crime in it but no police or anything like that.,NEGATIVE,0.9956,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-097,429487461878992897,Kaggle CrimeReport,"RT @SinghRPN: .@AngellicAribam Yes,hv spoken to Delhi police for full and speedy probe,it is the mos",NEGATIVE,0.9977,People: RT; Locations: Delhi; Organizations: N/A; Dates: N/A,other
TXT-098,429487155757330432,Kaggle CrimeReport,Heroin sold in McDonald's Happy Meals: Police http://t.co/4ZLnMPX3rc @bskousen we could of been rich,NEGATIVE,0.9941,People: N/A; Locations: N/A; Organizations: Heroin; McDonald's Happy Meals: Police; Dates: N/A,other
TXT-099,429487042423033856,Kaggle CrimeReport,Man sentenced for fraud: FLORENCE — A man who police said took advantage of a good Samaritan has bee,NEGATIVE,0.992,People: N/A; Locations: N/A; Organizations: Samaritan; Dates: N/A,other
TXT-100,429486947955146752,Kaggle CrimeReport,#police #judgment #crime #court http://t.co/yXXZSpnmGO notes 6 #Laws You've Broken Without Even Real,NEGATIVE,0.9776,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-101,429486365659906048,Kaggle CrimeReport,"RT @SinghRPN: .@AngellicAribam Yes,hv spoken to Delhi police for full and speedy probe,it is the mos",NEGATIVE,0.9977,People: RT; Locations: Delhi; Organizations: N/A; Dates: N/A,other
TXT-102,429485718771990528,Kaggle CrimeReport,RT @DemandAction: #NRAadvice: Don’t cooperate with police if your gun shows up at a crime scene: htt,NEGATIVE,0.9987,People: NRAadvice; Locations: N/A; Organizations: RT @DemandAction; Dates: N/A,other
TXT-103,429485563507654656,Kaggle CrimeReport,"RT @SinghRPN: .@AngellicAribam Yes,hv spoken to Delhi police for full and speedy probe,it is the mos",NEGATIVE,0.9977,People: RT; Locations: Delhi; Organizations: N/A; Dates: N/A,other
TXT-104,429485059242856448,Kaggle CrimeReport,Baby Boy Death:  3 Arrested Over Murder http://t.co/rVZCBbtAEi #News #Crime #Police #PoliceAppeal,NEGATIVE,0.994,People: Baby Boy Death; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-105,429484915839991808,Kaggle CrimeReport,"RT @AbusedChildren: Richland: Police: Convicted child rapist living in Richland | Crime, fires &amp;",NEGATIVE,0.9867,People: RT @AbusedChildren: Richland; Locations: N/A; Organizations: Richland; Dates: N/A,assault
TXT-106,429484743227625472,Kaggle CrimeReport,"RT @AsperCat: French police arrest the man who tortured a cat and recorded it for Facebook: 
The Fre",NEGATIVE,0.9905,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,assault
TXT-107,429484226082525184,Kaggle CrimeReport,"RT @AbusedChildren: Richland: Police: Convicted child rapist living in Richland | Crime, fires &amp;",NEGATIVE,0.9867,People: RT @AbusedChildren: Richland; Locations: N/A; Organizations: Richland; Dates: N/A,assault
TXT-108,429484187171971072,Kaggle CrimeReport,"RT @BaltoSpectator: I uploaded a new track, ""Lying Bastards Of Baltimore Police"", on @spreaker #balt",NEGATIVE,0.997,People: baltimore; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-109,429483997932949504,Kaggle CrimeReport,RT @blackmagicgal1: So AAP will continue to cry foul at Delhi police whenever a crime is reported ra,NEGATIVE,0.999,People: N/A; Locations: Delhi; Organizations: N/A; Dates: N/A,other
TXT-110,429483743066091521,Kaggle CrimeReport,RT @bradybuzz: BREAKING NEWS: Judge’s ruling favors officers in Badger Guns suit: http://t.co/QcQP0v,NEGATIVE,0.979,People: N/A; Locations: N/A; Organizations: Badger Guns; Dates: N/A,other
TXT-111,429483488165654528,Kaggle CrimeReport,"Driver blows over legal limit http://t.co/PvczzPY7EB
 #crime #Police #WestPerth",NEGATIVE,0.9956,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-112,429482862300397568,Kaggle CrimeReport,RT @bradybuzz: BREAKING NEWS: Judge’s ruling favors officers in Badger Guns suit: http://t.co/QcQP0v,NEGATIVE,0.979,People: N/A; Locations: N/A; Organizations: Badger Guns; Dates: N/A,other
TXT-113,429482630036205568,Kaggle CrimeReport,RT @flintjournal: Police news: Billboards tout anonymity of new Crime Stoppers hotline; Hamady janit,NEGATIVE,0.9917,People: N/A; Locations: N/A; Organizations: Hamady; Dates: N/A,assault
TXT-114,429482200552067073,Kaggle CrimeReport,"RT @girlweena: Just heard a police detective say ""interwishin'"" instead of ""intuition"" and am now co",NEGATIVE,0.9993,People: N/A; Locations: N/A; Organizations: N/A; Dates: N/A,other
TXT-115,429482178645606400,Kaggle CrimeReport,Wyoming Highway Patrol mourns loss of K-9 unit - Casper Star-Tribune Online http://t.co/w4Iagyh5sx #,NEGATIVE,0.9993,People: N/A; Locations: N/A; Organizations: Wyoming Highway Patrol; K-9; Casper Star-Tribune Online http://t.co/w4Iagyh5sx; PoliceNews; Dates: N/A,other
